"No.","Time","Source","Destination","Protocol","Length","Info"
"509","948.377966092","1.1.1.1","10.0.2.15","TCP","60","443  >  51054 [ACK] Seq=3788 Ack=796 Win=65535 Len=0"
"510","963.396343324","10.0.2.15","1.1.1.1","TCP","74","51056  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1406071097 TSecr=0 WS=1024"
"511","963.431482671","1.1.1.1","10.0.2.15","TCP","60","443  >  51056 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"512","963.431534781","10.0.2.15","1.1.1.1","TCP","54","51056  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0"
"513","963.431846420","10.0.2.15","1.1.1.1","TLSv1.3","571","Client Hello"
"514","963.431994666","1.1.1.1","10.0.2.15","TCP","60","443  >  51056 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"515","963.469079344","1.1.1.1","10.0.2.15","TLSv1.3","1514","Server Hello, Change Cipher Spec"
"516","963.469102264","10.0.2.15","1.1.1.1","TCP","54","51056  >  443 [ACK] Seq=518 Ack=1461 Win=31240 Len=0"
"517","963.469400485","1.1.1.1","10.0.2.15","TLSv1.3","1330","Application Data"
"518","963.469427275","10.0.2.15","1.1.1.1","TCP","54","51056  >  443 [ACK] Seq=518 Ack=2737 Win=34080 Len=0"
"519","963.469836674","10.0.2.15","1.1.1.1","TLSv1.3","134","Change Cipher Spec, Application Data"
"520","963.469931534","10.0.2.15","1.1.1.1","TLSv1.3","253","Application Data"
"521","963.469948744","1.1.1.1","10.0.2.15","TCP","60","443  >  51056 [ACK] Seq=2737 Ack=598 Win=65535 Len=0"
"522","963.470033562","1.1.1.1","10.0.2.15","TCP","60","443  >  51056 [ACK] Seq=2737 Ack=797 Win=65535 Len=0"
"523","963.524247142","1.1.1.1","10.0.2.15","TLSv1.3","1108","Application Data, Application Data"
"524","963.524401627","1.1.1.1","10.0.2.15","TCP","60","443  >  51056 [FIN, ACK] Seq=3791 Ack=797 Win=65535 Len=0"
"525","963.524717946","10.0.2.15","1.1.1.1","TCP","54","51056  >  443 [FIN, ACK] Seq=797 Ack=3792 Win=36920 Len=0"
"526","963.524935806","1.1.1.1","10.0.2.15","TCP","60","443  >  51056 [ACK] Seq=3792 Ack=798 Win=65535 Len=0"
"527","978.547089677","10.0.2.15","1.1.1.1","TCP","74","51058  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1406086248 TSecr=0 WS=1024"
"528","978.583748837","1.1.1.1","10.0.2.15","TCP","60","443  >  51058 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"529","978.583796687","10.0.2.15","1.1.1.1","TCP","54","51058  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0"
"530","978.584094241","10.0.2.15","1.1.1.1","TLSv1.3","571","Client Hello"
"531","978.584228787","1.1.1.1","10.0.2.15","TCP","60","443  >  51058 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
