"No.","Time","Source","Destination","Protocol","Length","Info"
"1768","13.266206515","1.1.1.1","10.0.2.15","TCP","60","443  >  50584 [FIN, ACK] Seq=3843 Ack=823 Win=65535 Len=0"
"1769","13.266679745","10.0.2.15","1.1.1.1","TCP","54","50584  >  443 [FIN, ACK] Seq=823 Ack=3844 Win=36920 Len=0"
"1770","13.266784025","1.1.1.1","10.0.2.15","TCP","60","443  >  50584 [ACK] Seq=3844 Ack=824 Win=65535 Len=0"
"1771","13.267295004","10.0.2.15","1.1.1.1","TCP","74","50586  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1403859062 TSecr=0 WS=1024"
"1772","13.306991092","1.1.1.1","10.0.2.15","TCP","60","443  >  50586 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"1773","13.307084302","10.0.2.15","1.1.1.1","TCP","54","50586  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0"
"1774","13.307456572","10.0.2.15","1.1.1.1","TLSv1.3","571","Client Hello"
"1775","13.307586302","1.1.1.1","10.0.2.15","TCP","60","443  >  50586 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"1776","13.350403077","1.1.1.1","10.0.2.15","TLSv1.3","1514","Server Hello, Change Cipher Spec"
"1777","13.350424177","10.0.2.15","1.1.1.1","TCP","54","50586  >  443 [ACK] Seq=518 Ack=1461 Win=31240 Len=0"
"1778","13.350614317","1.1.1.1","10.0.2.15","TLSv1.3","1329","Application Data"
"1779","13.350620237","10.0.2.15","1.1.1.1","TCP","54","50586  >  443 [ACK] Seq=518 Ack=2736 Win=34080 Len=0"
"1780","13.351144696","10.0.2.15","1.1.1.1","TLSv1.3","134","Change Cipher Spec, Application Data"
"1781","13.351247966","1.1.1.1","10.0.2.15","TCP","60","443  >  50586 [ACK] Seq=2736 Ack=598 Win=65535 Len=0"
"1782","13.351304006","10.0.2.15","1.1.1.1","TLSv1.3","279","Application Data"
"1783","13.351380086","1.1.1.1","10.0.2.15","TCP","60","443  >  50586 [ACK] Seq=2736 Ack=823 Win=65535 Len=0"
"1784","13.412187054","1.1.1.1","10.0.2.15","TLSv1.3","1160","Application Data, Application Data"
"1785","13.412331204","1.1.1.1","10.0.2.15","TCP","60","443  >  50586 [FIN, ACK] Seq=3842 Ack=823 Win=65535 Len=0"
"1786","13.412708524","10.0.2.15","1.1.1.1","TCP","54","50586  >  443 [FIN, ACK] Seq=823 Ack=3843 Win=36920 Len=0"
"1787","13.412803894","1.1.1.1","10.0.2.15","TCP","60","443  >  50586 [ACK] Seq=3843 Ack=824 Win=65535 Len=0"
"1788","13.413266273","10.0.2.15","1.1.1.1","TCP","74","50588  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1403859208 TSecr=0 WS=1024"
"1789","13.444619372","1.1.1.1","10.0.2.15","TCP","60","443  >  50588 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"1790","13.444673392","10.0.2.15","1.1.1.1","TCP","54","50588  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0"
"1791","13.445025331","10.0.2.15","1.1.1.1","TLSv1.3","571","Client Hello"
"1792","13.445193311","1.1.1.1","10.0.2.15","TCP","60","443  >  50588 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"1793","13.478553228","1.1.1.1","10.0.2.15","TLSv1.3","1514","Server Hello, Change Cipher Spec"
"1794","13.478589358","10.0.2.15","1.1.1.1","TCP","54","50588  >  443 [ACK] Seq=518 Ack=1461 Win=31240 Len=0"
"1795","13.478786818","1.1.1.1","10.0.2.15","TLSv1.3","1330","Application Data"
"1796","13.478796498","10.0.2.15","1.1.1.1","TCP","54","50588  >  443 [ACK] Seq=518 Ack=2737 Win=34080 Len=0"
"1797","13.479468858","10.0.2.15","1.1.1.1","TLSv1.3","134","Change Cipher Spec, Application Data"
